Sem,Class Code,Learning Module,Instructor,Venue,Time,day
2,COMP224-221,DATABASE MANAGEMENT SYSTEMS,YANG XU,A211,10:00-11:30,2023/01/05
2,COMP221-221,OBJECT ORIENTED TECHNOLOGIES,WONG UN HONG,N_54,11:30-13:00,2023/01/05
2,COMP223-221,SOFTWARE ENGINEERING,AMANG KIM SONGKYOO,N_56,10:00-11:30,2023/01/06
2,COMP222-221,INTERNET PROGRAMMING I,CALANA CHAN MEI POU,N_54,11:30-13:00,2023/01/06
2,MENG221-221,ENGLISH IV,CHUI SAI CHAK,N_52,14:30-17:30,2023/01/06
2,COMP222-221,INTERNET PROGRAMMING I,CALANA CHAN MEI POU,N_54,10:00-11:30,2023/01/09
2,COMP223-221,SOFTWARE ENGINEERING,AMANG KIM SONGKYOO,N_56,11:30-13:00,2023/01/09
2,COMP225-221,NETWORK AND SYSTEM ADMINISTRATION,LIAM LEI KIN,N_54,14:30-17:30,2023/01/09
2,COMP221-221,OBJECT ORIENTED TECHNOLOGIES,WONG UN HONG,N_54,10:00-11:30,2023/01/10
2,COMP224-221,DATABASE MANAGEMENT SYSTEMS,YANG XU,A214,11:30-13:00,2023/01/10
2,COMP224-221,DATABASE MANAGEMENT SYSTEMS,YANG XU,A211,10:00-11:30,2023/01/12
2,COMP221-221,OBJECT ORIENTED TECHNOLOGIES,WONG UN HONG,N_54,11:30-13:00,2023/01/12
2,COMP223-221,SOFTWARE ENGINEERING,AMANG KIM SONGKYOO,N_56,10:00-11:30,2023/01/13
2,COMP222-221,INTERNET PROGRAMMING I,CALANA CHAN MEI POU,N_54,11:30-13:00,2023/01/13
2,MENG221-221,ENGLISH IV,CHUI SAI CHAK,N_52,14:30-17:30,2023/01/13
2,COMP222-221,INTERNET PROGRAMMING I,CALANA CHAN MEI POU,N_54,10:00-11:30,2023/01/16
2,COMP223-221,SOFTWARE ENGINEERING,AMANG KIM SONGKYOO,N_56,11:30-13:00,2023/01/16
2,COMP225-221,NETWORK AND SYSTEM ADMINISTRATION,LIAM LEI KIN,N_54,14:30-17:30,2023/01/16
2,COMP221-221,OBJECT ORIENTED TECHNOLOGIES,WONG UN HONG,N_54,10:00-11:30,2023/01/17
2,COMP224-221,DATABASE MANAGEMENT SYSTEMS,YANG XU,A214,11:30-13:00,2023/01/17
2,COMP224-221,DATABASE MANAGEMENT SYSTEMS,YANG XU,A211,10:00-11:30,2023/01/19
2,COMP221-221,OBJECT ORIENTED TECHNOLOGIES,WONG UN HONG,N_54,11:30-13:00,2023/01/19
2,COMP223-221,SOFTWARE ENGINEERING,AMANG KIM SONGKYOO,N_56,10:00-11:30,2023/01/20
2,COMP222-221,INTERNET PROGRAMMING I,CALANA CHAN MEI POU,N_54,11:30-13:00,2023/01/20
2,MENG221-221,ENGLISH IV,CHUI SAI CHAK,N_52,14:30-17:30,2023/01/20
2,COMP222-221,INTERNET PROGRAMMING I,CALANA CHAN MEI POU,N_54,10:00-11:30,2023/01/23
2,COMP223-221,SOFTWARE ENGINEERING,AMANG KIM SONGKYOO,N_56,11:30-13:00,2023/01/23
2,COMP225-221,NETWORK AND SYSTEM ADMINISTRATION,LIAM LEI KIN,N_54,14:30-17:30,2023/01/23
2,COMP221-221,OBJECT ORIENTED TECHNOLOGIES,WONG UN HONG,N_54,10:00-11:30,2023/01/24
2,COMP224-221,DATABASE MANAGEMENT SYSTEMS,YANG XU,A214,11:30-13:00,2023/01/24
2,COMP224-221,DATABASE MANAGEMENT SYSTEMS,YANG XU,A211,10:00-11:30,2023/01/26
2,COMP221-221,OBJECT ORIENTED TECHNOLOGIES,WONG UN HONG,N_54,11:30-13:00,2023/01/26
2,COMP223-221,SOFTWARE ENGINEERING,AMANG KIM SONGKYOO,N_56,10:00-11:30,2023/01/27
2,COMP222-221,INTERNET PROGRAMMING I,CALANA CHAN MEI POU,N_54,11:30-13:00,2023/01/27
2,MENG221-221,ENGLISH IV,CHUI SAI CHAK,N_52,14:30-17:30,2023/01/27
2,COMP222-221,INTERNET PROGRAMMING I,CALANA CHAN MEI POU,N_54,10:00-11:30,2023/01/30
2,COMP223-221,SOFTWARE ENGINEERING,AMANG KIM SONGKYOO,N_56,11:30-13:00,2023/01/30
2,COMP225-221,NETWORK AND SYSTEM ADMINISTRATION,LIAM LEI KIN,N_54,14:30-17:30,2023/01/30
2,COMP221-221,OBJECT ORIENTED TECHNOLOGIES,WONG UN HONG,N_54,10:00-11:30,2023/01/31
2,COMP224-221,DATABASE MANAGEMENT SYSTEMS,YANG XU,A214,11:30-13:00,2023/01/31
2,COMP224-221,DATABASE MANAGEMENT SYSTEMS,YANG XU,A211,10:00-11:30,2023/02/02
2,COMP221-221,OBJECT ORIENTED TECHNOLOGIES,WONG UN HONG,N_54,11:30-13:00,2023/02/02
2,COMP223-221,SOFTWARE ENGINEERING,AMANG KIM SONGKYOO,N_56,10:00-11:30,2023/02/03
2,COMP222-221,INTERNET PROGRAMMING I,CALANA CHAN MEI POU,N_54,11:30-13:00,2023/02/03
2,MENG221-221,ENGLISH IV,CHUI SAI CHAK,N_52,14:30-17:30,2023/02/03
2,COMP222-221,INTERNET PROGRAMMING I,CALANA CHAN MEI POU,N_54,10:00-11:30,2023/02/06
2,COMP223-221,SOFTWARE ENGINEERING,AMANG KIM SONGKYOO,N_56,11:30-13:00,2023/02/06
2,COMP225-221,NETWORK AND SYSTEM ADMINISTRATION,LIAM LEI KIN,N_54,14:30-17:30,2023/02/06
2,COMP221-221,OBJECT ORIENTED TECHNOLOGIES,WONG UN HONG,N_54,10:00-11:30,2023/02/07
2,COMP224-221,DATABASE MANAGEMENT SYSTEMS,YANG XU,A214,11:30-13:00,2023/02/07
2,COMP224-221,DATABASE MANAGEMENT SYSTEMS,YANG XU,A211,10:00-11:30,2023/02/09
2,COMP221-221,OBJECT ORIENTED TECHNOLOGIES,WONG UN HONG,N_54,11:30-13:00,2023/02/09
2,COMP223-221,SOFTWARE ENGINEERING,AMANG KIM SONGKYOO,N_56,10:00-11:30,2023/02/10
2,COMP222-221,INTERNET PROGRAMMING I,CALANA CHAN MEI POU,N_54,11:30-13:00,2023/02/10
2,MENG221-221,ENGLISH IV,CHUI SAI CHAK,N_52,14:30-17:30,2023/02/10
2,COMP222-221,INTERNET PROGRAMMING I,CALANA CHAN MEI POU,N_54,10:00-11:30,2023/02/13
2,COMP223-221,SOFTWARE ENGINEERING,AMANG KIM SONGKYOO,N_56,11:30-13:00,2023/02/13
2,COMP225-221,NETWORK AND SYSTEM ADMINISTRATION,LIAM LEI KIN,N_54,14:30-17:30,2023/02/13
2,COMP221-221,OBJECT ORIENTED TECHNOLOGIES,WONG UN HONG,N_54,10:00-11:30,2023/02/14
2,COMP224-221,DATABASE MANAGEMENT SYSTEMS,YANG XU,A214,11:30-13:00,2023/02/14
2,MENG221-221,ENGLISH IV,HO SIO WA,B304,14:30-17:30,2023/02/14
2,COMP224-221,DATABASE MANAGEMENT SYSTEMS,YANG XU,A211,10:00-11:30,2023/02/16
